,row_index,web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,Review
0,0,1583824218-66,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Noting Special,Reviewed in India on 1 December 2018,Ok Product.,3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,[],[],[],[],[],Noting Special. Ok Product.
1,1,1583824254-222,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Priyesh singh,Review,Reviewed in India on 11 May 2019,Good,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews,[],[],[],[],[],Review. Good
2,2,1583824250-206,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Naseer,"Indian brand keeping to its name, best for me!",Reviewed in India on 6 March 2019,I have been using this for a year now and hairfall has gradually improved.  This is a big bottle and will last you for a LONG time for a single user. This is an Indian brand and manufacturer and I love the quality.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews,[],"['single user', 'Indian brand', 'big bottle', 'gradually improved', 'LONG time']",[],[],[],"Indian brand keeping to its name, best for me!. I have been using this for a year now and hairfall has gradually improved.  This is a big bottle and will last you for a LONG time for a single user. This is an Indian brand and manufacturer and I love the quality."
3,3,1583824204-6,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sonal,Satisfied,Reviewed in India on 23 October 2019,"Bought it for INR 152 during the Amazon sale, and it's worth every paisa I spent on it. The scent is exotic, the shampoo lathers easily and it leaves my hair so soft and silky that I don't need to use a conditioner afterward.

Note: I have naturally straight hair and an oily scalp. Results will differ from hair type to hair type.",5.0 out of 5 stars,,,"[('Amazon sale', 'sale'), ('hair type', 'type'), ('hair type', 'type')]","['naturally straight hair', 'use afterward', 'straight hair', 'oily scalp', ""n't need"", 'lathers easily']",[],[],[],"Satisfied. Bought it for INR 152 during the Amazon sale, and it's worth every paisa I spent on it. The scent is exotic, the shampoo lathers easily and it leaves my hair so soft and silky that I don't need to use a conditioner afterward.

Note: I have naturally straight hair and an oily scalp. Results will differ from hair type to hair type."
4,4,1583824234-138,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Virpalsinh raulji,Damaged,Reviewed in India on 25 January 2020,Unexpectedlly... One bottle is damaged,3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,[],[],[],[],[],Damaged. Unexpectedlly... One bottle is damaged
5,5,1583824250-203,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hemanta Kumar,Not entirely ayurvedic though.....,Reviewed in India on 3 January 2019,"All these so called ayurvedic shampoos have all the chemicals in the book. Then why call it ayurvedic? Himalaya , Patanjali and Nyle all are one and the same dubious.",3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews,[],"['Then call', 'ayurvedic shampoos']",[],[],[],"Not entirely ayurvedic though...... All these so called ayurvedic shampoos have all the chemicals in the book. Then why call it ayurvedic? Himalaya , Patanjali and Nyle all are one and the same dubious."
6,6,1583824228-109,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Himanshu Bhalodiya,good for hair loss..,Reviewed in India on 4 December 2018,it's good for hair loss.,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,"[('hair loss', 'loss')]",[],[],[],[],good for hair loss... it's good for hair loss.
7,7,1583824243-177,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,sunita rajput,Nice product it really works,Reviewed in India on 15 March 2017,Nice product it really works.I have tried so many shampoos but always disappointed .then I tried it it really works .and its fragrance is also too good.and packing is also good .,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,[],"['really works', 'many shampoos', 'Nice product', 'then tried']",[],[],[],Nice product it really works. Nice product it really works.I have tried so many shampoos but always disappointed .then I tried it it really works .and its fragrance is also too good.and packing is also good .
8,8,1583824257-240,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,NAGAL MOHAMMED RIZWAN,NYLE,Reviewed in India on 9 June 2019,GOOD,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews,[],[],[],[],[],NYLE. GOOD
9,9,1583824257-232,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HR,Good,Reviewed in India on 5 January 2019,Good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews,[],[],[],[],[],Good. Good
